"Date 2023-10-14 21.31.37","Track Imola (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","1","6","93,4565505981445","Invalid lap. ","0L","1:54,050","0:32,812","0:33,587","0:47,650","+11,404","+12,837","+6,403","+6,489","OPTIMUM","Dry","26,371162204797","26,7701368819188","25,8606837361624","26,0745097509225","71,9012907380074","69,8075198247233","74,9171515129151","73,2089347140222","1","266 Km/h","28,6337536656891","3,607559","0","3,607559","0","0","21,02695","21,02695","0","2","31","Regular","1"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","2","5","90,8300476074219","","0L","1:42,735","0:22,945","0:32,455","0:47,335","+0,089","+1,522","-4,912","-4,826","OPTIMUM","Dry","26,9287775449102","27,0603602195609","27,0275360678643","26,9698191417166","77,6583099800399","72,9481671656687","87,0203896606786","82,8179991616767","1","268 Km/h","21,3980198019802","3,607559","0","3,607559","0","0","20,98608","20,98608","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","3","5","88,20751953125","","0L","1:41,322","0:21,877","0:32,470","0:46,975","-1,324","+0,109","-6,325","-6,239","OPTIMUM","Dry","27,0469311178862","27,0775958333333","27,1733424796748","27,0951048170732","78,9155241666667","73,1815419512195","88,5656551422764","84,1495066869919","1","264 Km/h","21,0680892337536","3,607559","0","3,607559","0","0","20,94721","20,94721","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","4","4","85,5956039428711","Invalid lap. ","0L","1:41,455","0:22,012","0:32,417","0:47,025","-1,191","+0,242","-6,192","-6,106","OPTIMUM","Dry","27,1132294736842","27,0746891700405","27,2299673684211","27,1247813562753","79,6323791295547","73,1775097773279","89,1817418421053","84,4848812550607","1","264 Km/h","21,9143562439497","3,607559","0","3,607559","0","0","20,90837","20,90837","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","5","4","82,9917526245117","Invalid lap. ","0L","1:42,135","0:21,810","0:32,895","0:47,430","-0,511","+0,922","-5,512","-5,426","OPTIMUM","Dry","27,0926382931727","27,0650010240964","27,233763313253","27,081441686747","79,4442336546185","73,1029381124498","89,2476325301205","84,0597741164659","1","264 Km/h","24,5565856031128","3,607559","0","3,607559","0","0","20,86764","20,86764","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","6","4","80,4016494750977","","0L","1:41,470","0:21,920","0:32,432","0:47,117","-1,176","+0,257","-6,177","-6,091","OPTIMUM","Dry","27,0326662348178","27,0463881578947","27,1773736639676","27,0227526923077","78,8458162348178","72,9353444939271","88,6865293522267","83,4747208097166","1","268 Km/h","21,7779411764706","3,607559","0","3,607559","0","0","20,82891","20,82891","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","7","4","77,8193893432617","","0L","1:41,802","0:21,750","0:32,692","0:47,360","-0,844","+0,589","-5,845","-5,759","OPTIMUM","Dry","27,0415581451613","27,0440984072581","27,1525385887097","27,0290437298387","78,9646357258065","72,9376933467742","88,4540303427419","83,5664514112903","1","270 Km/h","22,0016865079365","3,607559","0","3,607559","0","0","20,79021","20,79021","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","8","4","75,218376159668","","0L","1:42,150","0:21,895","0:32,842","0:47,412","-0,496","+0,937","-5,497","-5,411","OPTIMUM","Dry","27,0176542052314","27,0484301408451","27,0983092555332","27,0011707645875","78,7419379476861","73,0091126559356","87,915442555332","83,3024075050302","1","271 Km/h","21,9611056268509","3,607559","0","3,607559","0","0","20,74963","20,74963","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","9","4","72,6383819580078","","0L","1:41,887","0:22,120","0:32,450","0:47,317","-0,759","+0,674","-5,760","-5,674","OPTIMUM","Dry","27,0141749087221","27,040990851927","27,1270147464503","27,0192559229209","78,7319861663286","72,9579103042596","88,2635061663286","83,5170862677485","1","268 Km/h","21,4255402750491","3,607559","0","3,607559","0","0","20,71104","20,71104","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","10","4","70,0713653564453","Invalid lap. ","0L","1:42,305","0:22,655","0:32,640","0:47,010","-0,341","+1,092","-5,342","-5,256","OPTIMUM","Dry","27,0152367474747","27,0012866262626","27,1329012121212","27,0477961818182","78,769268989899","72,5705497373737","88,3988599191919","83,8406034545455","1","268 Km/h","21,7952611218569","3,607559","0","3,607559","0","0","20,67059","20,67059","0","2","31","Regular","0"
