"Date 2023-09-10 14.16.12","Track Imola (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","1","6","126,307891845703","","0L","1:55,197","0:32,440","0:34,022","0:48,735","+12,551","+13,984","+7,550","+7,636","OPTIMUM","Dry","26,153676618805","26,3925607966651","25,9658773552571","26,0769775590551","73,0634550023159","70,3434975914775","74,2322040111163","72,0261654747568","1","268 Km/h","26,447352085354","0","0","0","0","0","24,12122","24,12122","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","2","5","123,405639648438","","0L","1:44,877","0:22,215","0:33,140","0:49,522","+2,231","+3,664","-2,770","-2,684","OPTIMUM","Dry","26,9933178149606","26,9861339566929","26,9906015748031","26,9026316929134","79,023690984252","73,7405276377953","82,1203897440945","78,0790449606299","1","270 Km/h","27,6099324975892","8,475586","0","8,475586","0","0","24,23651","24,23651","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","3","5","120,542098999023","","0L","1:43,195","0:22,437","0:33,057","0:47,700","+0,549","+1,982","-4,452","-4,366","OPTIMUM","Dry","27,1577396015936","27,1360466334661","27,1921576693227","27,0696804581673","80,6596374900398","75,2253377290837","84,1431521713147","79,7800027689243","1","270 Km/h","22,2081427174976","8,475586","0","8,475586","0","0","24,35426","24,35426","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","4","5","117,614929199219","","0L","1:42,782","0:22,132","0:32,897","0:47,752","+0,136","+1,569","-4,865","-4,779","OPTIMUM","Dry","27,2485695390782","27,1863759118236","27,3284408817635","27,1691951503006","81,5279280561122","75,6717461923848","85,4849158517034","80,744961743487","1","268 Km/h","23,2043933463796","8,475586","0","8,475586","0","0","24,46872","24,46872","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","5","5","114,710914611816","Invalid lap. ","0L","1:42,715","0:21,905","0:32,952","0:47,857","+0,069","+1,502","-4,932","-4,846","OPTIMUM","Dry","27,2795195791583","27,1891014028056","27,3769856913828","27,2235079759519","81,7710747094188","75,6208880160321","85,911339759519","81,2314685370741","1","267 Km/h","22,1557000993049","8,475586","0","8,475586","0","0","24,59135","24,59135","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","6","5","111,800453186035","","0L","1:42,430","0:21,937","0:32,810","0:47,682","-0,216","+1,217","-5,217","-5,131","OPTIMUM","Dry","27,2669576056338","27,1748994567404","27,3979619517103","27,2332657746479","81,5596353118712","75,392364527163","86,0492568209255","81,2525278470825","1","267 Km/h","24,4722343594836","8,475586","0","8,475586","0","0","24,71042","24,71042","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","7","5","108,89289855957","","0L","1:42,685","0:22,020","0:32,920","0:47,745","+0,039","+1,472","-4,962","-4,876","OPTIMUM","Dry","27,2758176305221","27,1883765261044","27,4054764658635","27,2318362248996","81,569638253012","75,4504618473896","86,0452414859438","81,1553479919679","1","267 Km/h","22,579380952381","8,475586","0","8,475586","0","0","24,83772","24,83772","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","8","5","106,001770019531","","0L","1:42,710","0:22,102","0:32,997","0:47,610","+0,064","+1,497","-4,937","-4,851","OPTIMUM","Dry","27,2949302816901","27,196501529175","27,3809939839034","27,2261678470825","81,6851080482897","75,4514774044266","85,7065974647887","81,0126835412475","1","267 Km/h","22,1258192090395","8,475586","0","8,475586","0","0","24,96707","24,96707","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","9","5","103,103988647461","","0L","1:42,577","0:21,922","0:32,940","0:47,715","-0,069","+1,364","-5,070","-4,984","OPTIMUM","Dry","27,3435071975806","27,1972447580645","27,4340981048387","27,2557838508065","82,1062664516129","75,3743667943548","86,174913266129","81,2363292540323","1","267 Km/h","23,0163896848138","8,475586","0","8,475586","0","0","25,09178","25,09178","0","3","0","Regular","0"
"Nissan GT-R Nismo GT3 (2018)","333","Ville Synkkänen (Syn)","","10","5","100,203193664551","","0L","1:42,792","0:21,940","0:33,110","0:47,742","+0,146","+1,579","-4,855","-4,769","OPTIMUM","Dry","27,3315331863727","27,2408726853707","27,3992623647295","27,2823444288577","81,895843246493","75,7431303607214","86,4040221042084","81,4273080761523","1","267 Km/h","23,3739019607843","8,475586","0","8,475586","0","0","25,22373","25,22373","0","3","0","Regular","0"
