"Date 2023-12-13 18.08.24","Track Silverstone (2022)","Session Type 0","Duration 0"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","1","1","96,7446594238281","","0L","4:27,793","3:02,621","0:51,090","0:34,082","+149,704","+151,156","+141,712","+144,696","OPTIMUM","Dry","25,9859639381153","25,6727227285513","26,0083355274262","25,7476234036568","74,0863856258791","79,0852136005626","75,4200940365682","78,9056810267229","1","252 Km/h","22,8686849852797","0","0","0","0","0","26,09132","32,64945","0","2","31","Outlap","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","2","1","93,534049987793","","0L","2:00,582","0:35,875","0:50,792","0:33,915","+2,493","+3,945","-5,499","-2,515","OPTIMUM","Dry","26,6693118243243","26,9149094087838","26,753835152027","26,8998846790541","81,1635032094594","92,0551369425676","83,0856233952703","90,8569790878378","1","253 Km/h","22,1676998050682","0","0","0","0","0","26,06837","32,57856","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","3","1","96,7504730224609","","0L","5:40,722","4:15,672","0:51,017","0:34,032","+222,633","+224,085","+214,641","+217,625","OPTIMUM","Dry","26,4705618792517","26,4675834268707","26,453276079932","26,4279730952381","78,1257622534014","86,3081929166667","80,105558452381","86,2881226785714","1","254 Km/h","23,4279265873016","0","0","0","0","0","26,00164","32,37268","0","2","31","Outlap","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","4","1","93,5143508911133","Invalid lap. ","0L","2:00,485","0:35,745","0:50,720","0:34,020","+2,396","+3,848","-5,596","-2,612","OPTIMUM","Dry","26,7918373434856","26,9636196277496","26,7016336717428","26,6823172419628","80,6328249238579","90,7921752961083","82,892523248731","90,7789861759729","1","252 Km/h","22,599033530572","0","0","0","0","0","25,97741","32,29805","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","5","1","90,2908248901367","","0L","2:00,257","0:35,692","0:50,632","0:33,932","+2,168","+3,620","-5,824","-2,840","OPTIMUM","Dry","26,8513907445008","27,0990603384095","26,7705600507614","26,8045186971235","81,2694219120136","92,3058024365482","83,6267538071066","92,1995714213198","1","253 Km/h","22,3674146341463","0","0","0","0","0","25,9529","32,22257","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","6","1","87,0607986450195","","0L","2:00,170","0:35,605","0:50,640","0:33,925","+2,081","+3,533","-5,911","-2,927","OPTIMUM","Dry","26,8967597118644","27,1241208644068","26,8034390847458","26,8324436440678","81,7584521355932","92,5832882542373","83,9856805762712","92,5068979152542","1","253 Km/h","22,1445821042281","0","0","0","0","0","25,92811","32,14629","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","7","1","83,8347244262695","","0L","2:00,532","0:35,760","0:50,820","0:33,952","+2,443","+3,895","-5,549","-2,565","OPTIMUM","Dry","26,9207380236486","27,1261739189189","26,8348144932432","26,8520877871622","82,02488625","92,621334847973","84,3291707263514","92,728183125","1","253 Km/h","22,0828063241107","0","0","0","0","0","25,90291","32,06879","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","8","1","80,6148376464844","","0L","2:00,220","0:35,747","0:50,457","0:34,015","+2,131","+3,583","-5,861","-2,877","OPTIMUM","Dry","26,8858232825719","27,1414192893401","26,8038330118443","26,8242705076142","81,6780873604061","92,7970334179357","84,0233391032149","92,4553158544839","1","253 Km/h","22,168608094768","0","0","0","0","0","25,87742","31,99047","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","9","1","77,3987197875977","","0L","2:00,627","0:35,695","0:50,850","0:34,082","+2,538","+3,990","-5,454","-2,470","OPTIMUM","Dry","26,9273802876481","27,1357554145516","26,7997325888325","26,8016921489002","82,1280905752961","92,7551540778342","83,9977475972927","92,23724642978","1","253 Km/h","22,8948221343874","0","0","0","0","0","25,85155","31,91104","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","10","1","74,1692810058594","","0L","2:00,660","0:35,782","0:50,605","0:34,272","+2,571","+4,023","-5,421","-2,437","OPTIMUM","Dry","26,9357407094595","27,1182204898649","26,7680180405405","26,7911820945946","82,3644533783784","92,5898626013514","83,7263489189189","92,1451236993243","1","253 Km/h","20,7470454545455","0","0","0","0","0","25,82535","31,83064","0","2","31","Regular","0"
