"Date 2023-11-11 15.15.08","Track Silverstone (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","1","46","73,5929794311523","Invalid lap. ","0L","5:52,850","","0:57,170","0:36,935","+234,761","+236,213","+226,769","+229,753","FAST","Dry","24,4788400761124","24,0048941217799","24,2029134162763","23,8001711592506","43,8198183606557","45,9867093852459","45,797148984192","47,6222899619438","1","234 Km/h","23,428752362949","0","0","0","0","0","17,57214","24,02108","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","2","47","71,0119552612305","","0L","2:11,225","0:39,940","0:54,817","0:36,467","+13,136","+14,588","+5,144","+8,128","OPTIMUM","Dry","26,8615484152139","27,01298340729","27,0223649920761","27,0723860538827","68,1180694611728","76,987194199683","73,9599052773376","80,7309614580032","1","239 Km/h","18,286245210728","0","0","0","0","0","17,55527","23,97507","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","3","47","68,4099578857422","","0L","2:09,785","0:38,812","0:54,560","0:36,412","+11,696","+13,148","+3,704","+6,688","OPTIMUM","Dry","26,9728812540193","27,236561511254","27,0642487942122","27,1757437942122","69,293544340836","79,3318853215434","74,4119497749196","81,8233620096463","1","240 Km/h","18,103349328215","0","0","0","0","0","17,52518","23,90393","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","4","47","65,8089828491211","","0L","2:09,872","0:38,987","0:54,520","0:36,365","+11,783","+13,235","+3,791","+6,775","OPTIMUM","Dry","26,9907596463022","27,2843955787781","27,0923129903537","27,2124267202572","69,5041353376206","79,8545152250804","74,7286459163987","82,229835562701","1","239 Km/h","18,6323489932886","0","0","0","0","0","17,48237","23,80872","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","5","46","63,2074928283691","","0L","2:10,335","0:38,905","0:54,900","0:36,530","+12,246","+13,698","+4,254","+7,238","OPTIMUM","Dry","27,0173970766773","27,30476014377","27,1357896325879","27,227131485623","69,8142036102236","80,0992417412141","75,214119600639","82,4156011821086","1","239 Km/h","18,3322886989554","0","0","0","0","0","17,42781","23,69133","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","6","46","60,6128005981445","","0L","2:09,947","0:38,945","0:54,352","0:36,650","+11,858","+13,310","+3,866","+6,850","OPTIMUM","Dry","26,9570432744783","27,2682814125201","27,149367046549","27,2722785553772","69,2255081701445","79,7592458426966","75,3955456500803","82,9258740449438","1","239 Km/h","17,8715873015873","0","0","0","0","0","17,36287","23,55439","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","7","46","58,0148696899414","","0L","2:09,760","0:39,022","0:54,372","0:36,365","+11,671","+13,123","+3,679","+6,663","OPTIMUM","Dry","26,9901478548387","27,2488198225806","27,1688324032258","27,2475658709677","69,6166245645161","79,6027967903226","75,6445830806452","82,7147287903226","1","238 Km/h","17,7643153918791","0","0","0","0","0","17,28925","23,40122","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","8","46","55,4111251831055","","0L","2:09,472","0:38,722","0:54,412","0:36,337","+11,383","+12,835","+3,391","+6,375","OPTIMUM","Dry","26,921903392283","27,2244514951768","27,1353530064309","27,2371903858521","68,9570641800643","79,4002791318328","75,3471596623794","82,6579675562701","1","240 Km/h","17,8151149425287","0","0","0","0","0","17,20893","23,23556","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","9","47","52,8282089233398","","0L","2:11,842","0:39,062","0:55,017","0:37,762","+13,753","+15,205","+5,761","+8,745","OPTIMUM","Dry","26,8920130015798","27,1873032385466","27,1347453870458","27,2141090521327","68,7011836808847","79,0687981042654","75,3963083096367","82,4730155924171","1","238 Km/h","19,6531034482759","0","0","0","0","0","17,12402","23,06139","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","10","46","50,2440872192383","Invalid lap. ","0L","2:14,940","0:40,635","0:57,272","0:37,032","+16,851","+18,303","+8,859","+11,843","OPTIMUM","Dry","26,8621084186047","26,9927394883721","27,041216248062","27,0264706511628","68,4487359224806","77,1011519534884","74,4811042325581","80,5775077674419","1","236 Km/h","18,8901945525292","0","0","0","0","0","17,03335","22,87597","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","11","49","47,5253677368164","","0L","2:45,707","1:04,667","0:57,840","0:43,200","+47,618","+49,070","+39,626","+42,610","OPTIMUM","Dry","27,4061019143577","27,5108076070529","27,46933802267","27,2040942191436","74,1827948488665","82,5651512720403","79,0081663979849","82,4952138916877","1","215 Km/h","24,4572918660287","136,1777","0","162,1673","0","25,98967","16,9226","22,64954","0","3","31","Inlap","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","12","49","44,9888916015625","","0L","3:33,562","","0:56,687","0:36,625","+95,473","+96,925","+87,481","+90,465","OPTIMUM","Dry","27,2247847512195","27,5577464097561","26,8851340682927","26,9518417365854","72,3771972195122","83,1372210634146","73,0058286829268","79,9507058048781","1","226 Km/h","25,823154875717","0","0","0","0","0","16,78474","22,36649","0","3","31","Outlap","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","13","49","42,459602355957","","0L","2:10,892","0:39,610","0:54,797","0:36,485","+12,803","+14,255","+4,811","+7,795","OPTIMUM","Dry","26,6119283865815","26,9135169169329","27,0025936102236","27,0826681629393","66,0643880191693","76,4976076517572","74,300477428115","81,3845925239617","1","228 Km/h","17,8854202077432","0","0","0","0","0","16,70795","22,20737","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","14","49","39,860466003418","","0L","2:10,112","0:39,125","0:54,517","0:36,470","+12,023","+13,475","+4,031","+7,015","OPTIMUM","Dry","26,688405088","27,018502672","27,028171872","27,14915712","66,910192832","77,640381184","74,61609016","82,12635568","1","237 Km/h","17,9928599412341","0","0","0","0","0","16,63774","22,06026","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","15","49","37,2663955688477","","0L","2:10,375","0:39,195","0:54,475","0:36,705","+12,286","+13,738","+4,294","+7,278","OPTIMUM","Dry","26,7325796153846","27,0630483974359","27,0995123717949","27,2626686698718","67,4146108333333","78,1642354647436","75,4034868589744","83,3530371955128","1","237 Km/h","18,1242748815166","0","0","0","0","0","16,57511","21,92688","0","3","31","Regular","0"
