Track,"Car","Race #","Driver","Team","Lap","Position","Fuel","Pen","Lap Time","Sector 1","Sector 2","Sector 3","Gap","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pos (Start Lap)","Fuel (Start Lap)","Position Δ","Wind Speed","Wind Direction","Brake Bias","Track Grip","Rain Intensity","Tyre","Tyre Set","Suspension Damage FL","Suspension Damage FR","Suspension Damage RL","Suspension Damage RR","Lap 0 Timestamp","Real Timestamp","Real Duration","° Air","° Road","° FL","° FR","° RL","° RR","Accel From","Accel to","Accidents","Adjusted timestamp","Brake ° FL","Brake ° FR","Brake ° RL","Brake ° RR","Brake Compound F","Brake Compound R","Brand","Category","Cup","Damage Front","Damage Left","Damage Rear","DamageRight","Driver ID","ECU Mode","ELO","First Name","Flags","Lap Completed Timestamp","Lap Type","Last Name","Licence","Max Speed","Nation Flag","Nationality","p FL","p FR","p RL","p RR","Peak Accel","Peak Accel Dist","Peak Accel Time","Penalty","Penalty Code","PenaltyTime","Player ID","Player Unclear","Position (Broadcast)","Repair Time","Session ID","Short Name","SR","Timestamp","TimingFlags"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","1","43","79,9L","","5:21,115","","0:40,382","0:45,320","+0,320","+214,497","+216,301","+205,778","+212,874","OPTIMUM","Dry","42","0","-1","0,1 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","2:09,371","","22,8°C","30,3°C","56,3°C","52,6°C","60,1°C","57,7°C","71","215","0","","360,1°C","359,2°C","197,9°C","197,7°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","1","19:38,640","Regular","Synkkanen","","245 Km/h","","Finland","24,7 psi","25,5 psi","24,5 psi","24,9 psi","24,408003875969","540,083","12073","0","","0","0","True","43","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","8"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","2","42","77,6L","","1:55,525","0:32,087","0:38,192","0:45,245","+0,000","+8,907","+10,711","+0,188","+7,284","OPTIMUM","Dry","43","0","+1","0,1 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","4:04,975","","22,8°C","30,3°C","79,6°C","68,7°C","86,3°C","79,1°C","71","215","0","","380,2°C","378,1°C","191,1°C","190,3°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","21:34,240","Regular","Synkkanen","","250 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","26,9 psi","14,1803939962477","540,083","12073","0","","0","0","True","42","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","11776"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","3","42","75,2L","","1:55,590","0:32,385","0:38,227","0:44,977","+0,630","+8,972","+10,776","+0,253","+7,349","OPTIMUM","Dry","42","0","","0,1 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","6:00,645","","22,8°C","30,4°C","80,3°C","69,2°C","87,2°C","80,0°C","71","215","0","","402,4°C","401,0°C","204,0°C","203,3°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","23:29,727","Regular","Synkkanen","","248 Km/h","","Finland","27,0 psi","27,1 psi","27,1 psi","27,0 psi","15,3043021032505","540,083","12073","0","","0","0","True","42","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","2048"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","4","44","72,9L","","1:58,762","0:33,010","0:40,950","0:44,802","+0,312","+12,144","+13,948","+3,425","+10,521","OPTIMUM","Dry","42","0","-2","0,1 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","7:59,450","","22,9°C","30,4°C","80,6°C","68,6°C","87,7°C","79,7°C","71","215","1","","389,9°C","389,5°C","196,9°C","196,8°C","2","2","","Platinum","Pro","1,360366","0","0","0","0","1","","Ville","1","25:28,505","Regular","Synkkanen","","236 Km/h","","Finland","27,1 psi","27,0 psi","27,1 psi","27,0 psi","22,5020515267176","540,083","12073","0","","0","0","True","44","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","0"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","5","43","70,6L","","1:54,970","0:32,297","0:37,917","0:44,755","+0,825","+8,352","+10,156","-0,367","+6,729","OPTIMUM","Dry","44","0","+1","0,1 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","9:54,266","","22,9°C","30,4°C","80,6°C","68,8°C","88,3°C","80,4°C","71","215","1","","375,0°C","373,8°C","188,8°C","188,2°C","2","2","","Platinum","Pro","1,360366","0","2,476251","0","0","1","","Ville","0","27:23,477","Regular","Synkkanen","","246 Km/h","","Finland","27,1 psi","27,0 psi","27,2 psi","27,0 psi","14,6098788443616","540,083","12073","0","","0","0","True","43","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","11264"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","6","43","68,2L","","1:54,457","0:32,045","0:37,900","0:44,512","+0,632","+7,839","+9,643","-0,880","+6,216","OPTIMUM","Dry","43","0","","0,1 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","11:48,596","","22,9°C","30,4°C","80,9°C","69,9°C","88,9°C","81,6°C","71","215","0","","377,9°C","374,6°C","190,7°C","189,2°C","2","2","","Platinum","Pro","1,360366","0","2,476251","0","0","1","","Ville","0","29:17,935","Regular","Synkkanen","","247 Km/h","","Finland","27,1 psi","27,1 psi","27,2 psi","27,2 psi","14,5333648393195","540,083","12073","0","","0","0","True","43","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","11776"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","7","43","65,9L","","1:54,415","0:32,015","0:37,762","0:44,637","+0,308","+7,797","+9,601","-0,922","+6,174","OPTIMUM","Dry","43","0","","0,2 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","13:43,035","","22,9°C","30,5°C","81,1°C","70,0°C","88,6°C","81,1°C","71","215","0","","393,1°C","389,5°C","198,8°C","197,5°C","2","2","","Platinum","Pro","1,360366","0","2,476251","0","0","1","","Ville","0","31:12,355","Regular","Synkkanen","","248 Km/h","","Finland","27,1 psi","27,1 psi","27,2 psi","27,1 psi","14,276338028169","540,083","12073","0","","0","0","True","43","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","9728"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","8","43","63,6L","","1:54,822","0:31,995","0:38,137","0:44,690","+0,420","+8,204","+10,008","-0,515","+6,581","OPTIMUM","Dry","43","0","","0,2 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","15:37,863","","22,9°C","30,5°C","81,2°C","70,1°C","88,5°C","81,2°C","71","215","0","","395,9°C","393,7°C","200,0°C","199,1°C","2","2","","Platinum","Pro","1,360366","0","2,476251","0","0","1","","Ville","0","33:07,175","Regular","Synkkanen","","251 Km/h","","Finland","27,1 psi","27,1 psi","27,2 psi","27,1 psi","14,5373345935728","540,083","12073","0","","0","0","True","43","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","512"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","9","43","61,2L","","1:55,810","0:31,950","0:38,820","0:45,040","+0,825","+9,192","+10,996","+0,473","+7,569","OPTIMUM","Dry","43","0","","0,2 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","17:33,771","","22,9°C","30,5°C","80,8°C","69,9°C","88,3°C","81,1°C","71","215","0","","380,7°C","379,1°C","191,3°C","190,6°C","2","2","","Platinum","Pro","1,360366","0","2,476251","0","0","1","","Ville","0","35:02,990","Regular","Synkkanen","","249 Km/h","","Finland","27,1 psi","27,1 psi","27,2 psi","27,1 psi","14,3456375838926","540,083","12073","0","","0","0","True","43","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","512"
Watkins Glen (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","10","42","58,9L","","1:56,417","0:32,805","0:38,745","0:44,867","+1,237","+9,799","+11,603","+1,080","+8,176","OPTIMUM","Dry","43","0","+1","0,2 Km/h","N","51,0%","Optimum","No Rain","DHA","2","0","0","0","0","","19:30,169","","22,9°C","30,5°C","79,7°C","68,9°C","87,7°C","80,7°C","71","215","0","","367,2°C","364,7°C","185,3°C","184,5°C","2","2","","Platinum","Pro","1,360366","0","2,476251","0","0","1","","Ville","0","36:59,405","Regular","Synkkanen","","247 Km/h","","Finland","27,0 psi","27,0 psi","27,1 psi","27,0 psi","16,1741509433962","540,083","12073","0","","0","0","True","42","","51f430f2-f701-436d-8e19-d4072b35956c","SYN","","0.0","0"
