"Date 2023-11-25 15.14.42","Track Watkins Glen (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","1","43","79,9081802368164","Invalid lap. ","0L","5:21,115","","0:40,382","0:45,320","+214,497","+216,301","+205,778","+212,874","OPTIMUM","Dry","25,4766550510725","24,7287482175689","24,8682258784474","24,5003745199183","52,5837929775281","56,3034209295199","57,7043264759959","60,1225438815118","1","245 Km/h","24,408003875969","0","0","0","0","0","22,82169","30,29863","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","2","42","77,5770034790039","","0L","1:55,525","0:32,087","0:38,192","0:45,245","+8,907","+10,711","+0,188","+7,284","OPTIMUM","Dry","27,0146638918919","26,9596651171171","26,9152573693694","27,0049572072072","68,6659956576577","79,5514297117117","79,0888471531532","86,2732257837838","1","250 Km/h","14,1803939962477","0","0","0","0","0","22,83159","30,32832","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","3","42","75,2248153686523","","0L","1:55,590","0:32,385","0:38,227","0:44,977","+8,972","+10,776","+0,253","+7,349","OPTIMUM","Dry","27,0656148555957","27,0274137725632","27,0053958483754","27,0918936101083","69,1902439891697","80,2506510830325","80,021296732852","87,1723187906137","1","248 Km/h","15,3043021032505","0","0","0","0","0","22,84151","30,35813","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","4","44","72,8965148925781","Invalid lap. ","0L","1:58,762","0:33,010","0:40,950","0:44,802","+12,144","+13,948","+3,425","+10,521","OPTIMUM","Dry","27,0109856491228","27,0574142807018","26,9793346842105","27,1436941578947","68,6148577368421","80,5568263333333","79,7434987192982","87,7055801578947","1","236 Km/h","22,5020515267176","1,360366","0","1,360366","0","0","22,85065","30,38556","0","3","31","Regular","1"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","5","43","70,5686950683594","","0L","1:54,970","0:32,297","0:37,917","0:44,755","+8,352","+10,156","-0,367","+6,729","OPTIMUM","Dry","27,0306833695652","27,0646768297101","27,0466105978261","27,1990524094203","68,8139808514493","80,6264147644928","80,4382242753623","88,2761649637681","1","246 Km/h","14,6098788443616","1,360366","2,476251","3,836617","0","0","22,85941","30,4119","0","3","31","Regular","1"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","6","43","68,2450637817383","","0L","1:54,457","0:32,045","0:37,900","0:44,512","+7,839","+9,643","-0,880","+6,216","OPTIMUM","Dry","27,1397527818182","27,0891942181818","27,1625354363636","27,2494217818182","69,9444146","80,8761009090909","81,6400703636364","88,8544711272727","1","247 Km/h","14,5333648393195","1,360366","2,476251","3,836617","0","0","22,86781","30,43713","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","7","43","65,8949432373047","","0L","1:54,415","0:32,015","0:37,762","0:44,637","+7,797","+9,601","-0,922","+6,174","OPTIMUM","Dry","27,132122189781","27,1101056569343","27,1159252007299","27,216851770073","69,9614322627737","81,0884912591241","81,149106459854","88,568670310219","1","248 Km/h","14,276338028169","1,360366","2,476251","3,836617","0","0","22,87582","30,46124","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","8","43","63,5519218444824","","0L","1:54,822","0:31,995","0:38,137","0:44,690","+8,204","+10,008","-0,515","+6,581","OPTIMUM","Dry","27,1350681669691","27,1236107985481","27,0953700907441","27,211261814882","70,088117676951","81,2239727223231","81,1538329582577","88,5052454627949","1","251 Km/h","14,5373345935728","1,360366","2,476251","3,836617","0","0","22,88346","30,48422","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","9","43","61,2266540527344","","0L","1:55,810","0:31,950","0:38,820","0:45,040","+9,192","+10,996","+0,473","+7,569","OPTIMUM","Dry","27,1150790596745","27,0865738336347","27,0664854068716","27,1937578481013","69,8749160578662","80,8331880289331","81,0711901627486","88,3179287341772","1","249 Km/h","14,3456375838926","1,360366","2,476251","3,836617","0","0","22,89072","30,50607","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","10","42","58,9205894470215","","0L","1:56,417","0:32,805","0:38,745","0:44,867","+9,799","+11,603","+1,080","+8,176","OPTIMUM","Dry","27,0234142010772","26,9798875224417","27,0265112028725","27,1346081328546","68,9153253321364","79,717128545781","80,6500443087971","87,6970376481149","1","247 Km/h","16,1741509433962","1,360366","2,476251","3,836617","0","0","22,8976","30,52679","0","3","31","Regular","0"
