"Date 2023-12-09 15.19.25","Track Spa- Francorchamps (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","1","38","0","Invalid lap. ","0L","2:54,685","1:04,320","","0:41,495","+34,533","+35,922","+25,308","+22,259","","Wet","0","0","0","0","0","0","0","0","1","0 Km/h","0","0","0","0","0","0","0","0","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","2","37","72,646842956543","","0L","2:32,255","0:45,382","","0:40,402","+12,103","+13,492","+2,878","-0,171","OPTIMUM","Dry","25,5147335404392","25,3242545875736","25,713028765399","25,5446865961435","61,2382556213176","61,3374259534012","60,1788230717729","60,5085967220139","1","248 Km/h","24,47590085796","0","0","0","0","0","13,1914","14,84566","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","3","36","69,6620712280273","Invalid lap. ","0L","2:30,035","0:44,715","","0:39,755","+9,883","+11,272","+0,658","-2,391","OPTIMUM","Dry","26,9037157103064","26,7950607103064","26,7485135793872","26,6488971866295","76,0396863091922","76,9911850557103","71,297984902507","72,3436536072424","1","247 Km/h","20,8076363636364","0","0","0","0","0","13,12404","14,69721","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","4","35","66,6794128417969","","0L","2:29,962","0:44,670","1:05,365","0:39,927","+9,810","+11,199","+0,585","-2,464","OPTIMUM","Dry","26,8342363231198","26,7812198050139","26,8065255849582","26,7368309749304","75,3615682451253","76,8926355292479","71,9479037325905","73,3052588579387","1","247 Km/h","20,357896749522","0","0","0","0","0","13,05478","14,54648","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","5","33","63,6907386779785","","0L","2:30,080","0:44,557","","0:39,932","+9,928","+11,317","+0,703","-2,346","OPTIMUM","Dry","26,8185884797768","26,7877521478382","26,8070557601116","26,740570320781","75,2448158437936","77,0069240725244","71,9996712691771","73,3904553835425","1","247 Km/h","19,9560784313726","0","0","0","0","0","12,98572","14,39665","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","6","33","60,7138442993164","","0L","2:30,185","0:44,897","1:05,505","0:39,782","+10,033","+11,422","+0,808","-2,241","OPTIMUM","Dry","26,8115336350975","26,76584545961","26,8115697910864","26,7108385793872","75,2167652367688","76,8241687883008","72,0921311699164","73,1261892618384","1","245 Km/h","21,7832825880114","0","0","0","0","0","12,91889","14,2506","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","7","33","57,7227439880371","","0L","2:29,960","0:44,667","1:05,505","0:39,787","+9,808","+11,197","+0,583","-2,466","OPTIMUM","Dry","26,8347882753825","26,7816940611961","26,7907976773296","26,7167515159944","75,502335605007","77,0325915716273","71,9190889290682","73,2311194297636","1","246 Km/h","20,7175198412698","0","0","0","0","0","12,85603","14,1108","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","8","33","54,7436790466309","","0L","2:30,010","0:44,612","","0:39,825","+9,858","+11,247","+0,633","-2,416","OPTIMUM","Dry","26,8181558807212","26,7610890568655","26,8035704854369","26,7066180166435","75,3693163661581","76,8581911927878","72,0923738973648","73,1657927323162","1","246 Km/h","20,5158834765998","0","0","0","0","0","12,79848","13,97903","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","9","33","51,7696266174316","","0L","2:29,732","0:44,617","1:05,440","0:39,675","+9,580","+10,969","+0,355","-2,694","OPTIMUM","Dry","26,7615676805556","26,701866625","26,7813186527778","26,6927759305556","74,8161501388889","76,277587125","71,8968768611111","73,0579010416667","1","247 Km/h","20,537189292543","0","0","0","0","0","12,74711","13,85635","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","10","33","48,8103637695312","","0L","2:30,755","0:44,662","","0:39,912","+10,603","+11,992","+1,378","-1,671","OPTIMUM","Dry","26,7584292638889","26,7261209166667","26,7686331944444","26,7168149444444","74,8155928333333","76,5623684305556","71,7968738472222","73,340439625","1","246 Km/h","20,4095904761905","0","0","0","0","0","12,70228","13,74308","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","11","33","45,888069152832","Invalid lap. ","0L","2:31,522","0:44,747","","0:40,102","+11,370","+12,759","+2,145","-0,904","OPTIMUM","Dry","26,7046596270718","26,6112589640884","26,7406374585635","26,6740345441989","74,2833183425414","75,3937162707182","71,5330786740332","72,9226367403315","1","247 Km/h","20,8401231060606","0","0","0","0","0","12,66502","13,64038","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","12","33","42,9223251342773","","0L","2:33,075","0:44,847","","0:41,017","+12,923","+14,312","+3,698","+0,649","OPTIMUM","Dry","26,6270318715847","26,5397761612022","26,7190507377049","26,6382437978142","73,4969690300546","74,6713760928962","71,3304871857924","72,5720877459016","1","246 Km/h","21,5834247871334","0","0","0","0","0","12,6334","13,54365","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","13","33","39,9578857421875","","0L","2:31,267","0:44,885","","0:39,880","+11,115","+12,504","+1,890","-1,159","OPTIMUM","Dry","26,7381828","26,5984192689655","26,7524928137931","26,6493923862069","74,6755185103448","75,3029710758621","71,6995692413793","72,7089487862069","1","246 Km/h","22,2534266409266","0","0","0","0","0","12,60267","13,44978","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","14","33","36,989372253418","","0L","2:30,207","0:44,565","","0:39,785","+10,055","+11,444","+0,830","-2,219","OPTIMUM","Dry","26,7401705963939","26,6245169070735","26,7735431622746","26,6964045908461","74,714676629681","75,5932705963939","71,9372958391124","73,2171088349515","1","247 Km/h","21,306200750469","0","0","0","0","0","12,57876","13,36481","0","3","31","Regular","0"
